ID_CLASSIFICACAO;CLASSIFICACAO_NOME
1;Situação do domicílio
10;Tipo de agricultor
1000;Localização do(s) macromedidor(es)
1007;Motivo da paralisação
1009;Existência e tipo de instrumento de delegação do serviço
101;Nos últimos 30 dias, em quantos dias o escolar faltou às aulas sem permissão dos seus pais ou responsáveis
1013;Existência e tipo de órgão regulador do serviço
1014;Existência de racionamento nos últimos 3 anos
1019;Classes de percentual das pessoas em ordem crescente de rendimento domiciliar per capita
1020;Meses do ano
1031;Tipo de área geográfica
1032;Posse ou acesso a bens ou serviços
1035;Recebimento de rendimento de programa social e tipo de programa social
1042;Classes acumuladas de percentual das pessoas em ordem crescente de rendimento domiciliar per capita
1043;Classes de percentual em ordem crescente de rendimento habitualmente recebido
1045;Classes acumuladas de percentual das pessoas em ordem crescente de rendimento habitualmente recebido
1046;Classes de percentual das pessoas em ordem crescente de rendimento efetivamente recebido
1047;Classes acumuladas de percentual em ordem crescente de rendimento efetivamente recebido
1048;Caracterização do órgão gestor
1049;Frequência com que receberam a visita de Agente Comunitário em Saúde (ACS) ou membro da Equipe de Saúde da Família (ESF)
1051;Sexo do titular do órgão gestor
1054;Idade do titular do órgão gestor
1056;Fonte de pagamento do plano de saúde
1057;Cobertura de procedimentos
1059;Cor ou raça do titular do órgão gestor
1060;Nível de instrução do titular do órgão gestor
1063;Articulação do plano com Plano Diretor
1068;Realização de Conferência Municipal nos últimos 4 anos
1070;Existência de capacitação para membros do conselho
1071;Caracterização do Fundo Municipal
1073;Existência de cadastro ou levantamento de famílias interessadas em programas habitacionais
1074;Existência de favelas, mocambos, palafitas ou assemelhados, com cortiços, casas de cômodos ou cabeças de porco, com loteamentos irregulares e/ou clandestinos, com ocupações de terrenos ou prédios por movimentos de moradia
1075;Existência de programas ou ações realizados pela prefeitura, nos dois anos anteriores ao de referência da pesquisa
1076;Existência de algum programa que conceda o benefício do aluguel social
1077;Principal prática integrativa
1078;Frequência com que receberam a visita de agente de endemia
1079;Aspectos do Plano Municipal de Transporte
1080;Pertencimento a Terra de Indígena (TI) versus Agricultura Familiar
1086;Existência de serviços regulares de transporte no município e tipo de transporte
1087;Existência de transporte coletivo por ônibus intramunicipal
1088;Existência de isenção formal da tarifa do ônibus intramunicipal
1090;Existência de adaptação da frota de ônibus para pessoas com deficiência ou mobilidade reduzida e tipo de adaptação
1091;Existência de transporte coletivo por ônibus intermunicipal e características do serviço
1094;Existência de ciclovias e bicicletários
11;Grau de especialização do estabelecimento
1100;Posse de plano de saúde médico
1102;Diagnóstico de hipertensão arterial
1103;Diagnóstico de diabetes
11045;Grupo de produtos
11046;Tipos de índice
1105;Diagnóstico de doença do coração
11065;Divisão de comércio
11066;Divisão de comércio e grupo de atividade
11067;Faixas de receita total (em R$ 1.000,00)
11068;Grandes regiões
11069;Unidade da federação das empresas
11070;Divisão de comércio, grupo e classe de atividade
1108;Diagnóstico de asma
1117;Diagnóstico de depressão
11177;Motivo de não frequentar a escola ou creche
1118;Diagnóstico de doença crônica no pulmão
1119;Frequência de consultas médicas nos últimos 12 meses anteriores à pesquisa
1122;Utilização de aparelhos eletrônicos com nicotina líquida ou folha de tabaco picado
11227;Nível de governo
1123;Legalidade da marca do cigarro
1124;Tipo de patrimônio
1125;Local da última consulta odontológica
11255;Setores e subsetores
11275;Classes de tamanho da população
11277;Situação e localização da área
11278;Grupos de capacidade útil
11284;Condição de ocupação
11285;Condição de ocupação do terreno
11302;Curso mais elevado que frequentou
11308;Tipo de rendimento
11322;Curso que frequentavam
11333;Indicativo de residência na sede municipal
11339;Tipo do setor
1138;Acesso gratuito à internet em locais públicos
11381;Área do emprego
1139;Existência de programa ou ação para disponibilizar maquinário aos produtores agropecuários
1140;Existência de promoção ou apoio a atividades agropecuárias e desenvolvimento de programa ou ação de prevenção contra problemas climáticos
1141;Existência de órgão público que atue na assistência técnica e/ou extensão rural
1142;Utilização da Internet (indicador ampliado) no período de referência dos últimos três meses
1143;Existência de convênio com instituições que prestam apoio às atividades agropecuárias
1144;Existência de programa ou ação social, tipo de programa e área de atuação
1145;Existência de entidades de associativismo ou representação de produtores agropecuários com registro oficial
11456;Existência e forma de cobrança do serviço de esgotamento sanitário
1146;Existência de entidades de associativismo ou representação de produtores agropecuários em atuação
11460;Função da entidade
11461;Situação da coleta seletiva no município
11464;Forma de cobrança do serviço de limpeza urbana e coleta de lixo
11468;Área de abrangência da coleta seletiva
1147;Existência de infraestrutura de comercialização e exposição de produtos agropecuários
11478;Forma de atuação da entidade
1148;Existência de programa ou ação para aquisição de produtos agropecuários
115;Fumou cigarro alguma vez na vida, mesmo uma ou duas tragadas
1150;Existência de programa ou ação para vacinação de rebanho
1151;Existência de Serviço de Inspeção Municipal (SIM) para controlar a qualidade dos produtos de origem animal
1152;Existência de abatedouro municipal
11531;Procedência do couro
11532;Método de curtimento
1154;Existência de algum programa ou ação de apoio a atividade de extração vegetal
11550;Concentração de flúor na água
11557;Tipo do domicílio
11558;Tipo de esgotamento sanitário
11559;Condição de aquisição do domicílio
11561;Sexo da pessoa responsável pelo domicílio
11562;Grupos de idade da pessoa responsável pelo domicílio
11563;Alfabetização da pessoa responsável pelo domicílio
11564;Anos de estudo da pessoa responsável pelo domicílio
11565;Classes de rendimento nominal mensal da pessoa responsável pelo domicílio
11567;Grupos de anos de estudo da pessoa responsável pelo domicílio
1157;Tipo de exame
11570;Classes de rendimento nominal mensal
11571;Tipo de atividade
11572;Tipo de consumo
11573;Tipo de gasto
11574;Grupos de pessoal ocupado
11575;Tipo de serviço de alojamento
11576;Tipo de serviço de alimentação
11577;Relação com a pessoa responsável pelo domicílio
1158;Realização do exame
