ID_PESQUISA;PESQUISA_NOME;ID_AGREGADO;AGREGADO_NOME;AGREGADO_ASSUNTO;AGREGADO_URL;ID_VARIAVEL;VARIAVEL_NOME;VAR_UNIDADE;ID_CLASSIFICACAO;CLASSIFICACAO_NOME;ID_CATEGORIA;CATEGORIA_NOME;ID_NIVEL_LOCALIDADE;NIVEL_LOCALIDADE_NOME;ID_LOCALIDADE;NOME_LOCALIDADE;PERIODO;VALOR
CL;Cadastro Central de Empresas;9418;Empresas e outras organizações, pessoal ocupado total, pessoal ocupado assalariado, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0);Empresas e outras organizações;https://sidra.ibge.gov.br/tabela/9418;2585;Número de empresas e outras organizações;Unidades;12762;Classificação Nacional de Atividades Econômicas (CNAE 2.0);117790;85.1 Educação infantil e ensino fundamental;N6;Município;3530607;Mogi das Cruzes (SP);2022;129
CL;Cadastro Central de Empresas;9418;Empresas e outras organizações, pessoal ocupado total, pessoal ocupado assalariado, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0);Empresas e outras organizações;https://sidra.ibge.gov.br/tabela/9418;2585;Número de empresas e outras organizações;Unidades;12762;Classificação Nacional de Atividades Econômicas (CNAE 2.0);117794;85.2 Ensino médio;N6;Município;3530607;Mogi das Cruzes (SP);2022;16
CL;Cadastro Central de Empresas;9418;Empresas e outras organizações, pessoal ocupado total, pessoal ocupado assalariado, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0);Empresas e outras organizações;https://sidra.ibge.gov.br/tabela/9418;2585;Número de empresas e outras organizações;Unidades;12762;Classificação Nacional de Atividades Econômicas (CNAE 2.0);117796;85.3 Educação superior;N6;Município;3530607;Mogi das Cruzes (SP);2022;13
CD;Censo Demográfico;10051;Estabelecimentos de saúde, ensino e outras finalidades, em setores selecionados para a Pesquisa Urbanística do Entorno dos Domicílios, por existência e características do entorno;Geral;https://sidra.ibge.gov.br/tabela/10051;13324;Quantidade de estabelecimentos de saúde, ensino e outras finalidades, em setores selecionados para a Pesquisa Urbanística do Entorno dos Domicílios;Unidades;3 | 14;Espécie | Características do entorno;491 | 200;Estabelecimento de saúde | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;559
CD;Censo Demográfico;10056;Taxa bruta de frequência escolar, segundo os grupos de idade, o sexo e a cor ou raça;Educação;https://sidra.ibge.gov.br/tabela/10056;3795;Taxa de frequência escolar bruta;%;58 | 2 | 86;Grupo de idade | Sexo | Cor ou raça;31615 | 6794 | 95251;6 a 14 anos | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;97.10
CD;Censo Demográfico;10062;Número médio de anos de estudo das pessoas com 11 anos ou mais de idade, segundo os grupos de idade, o sexo e a cor ou raça;Educação;https://sidra.ibge.gov.br/tabela/10062;13285;Número médio de anos de estudo das pessoas de 11 anos ou mais de idade;Anos;58 | 2 | 86;Grupo de idade | Sexo | Cor ou raça;95253 | 6794 | 95251;Total | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;10.7
CD;Censo Demográfico;10089;População residente, total e quilombola, por sexo e grupos de idade, segundo localização e situação do domicílio;População quilombola;https://sidra.ibge.gov.br/tabela/10089;1000093;População residente - percentual do total geral;Percentual;1 | 2 | 58 | 2661;Situação do domicílio | Sexo | Grupo de idade | Localização do domicílio;1 | 6794 | 95253 | 32776;Urbana | Total | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;93.93
CD;Censo Demográfico;10089;População residente, total e quilombola, por sexo e grupos de idade, segundo localização e situação do domicílio;População quilombola;https://sidra.ibge.gov.br/tabela/10089;1000093;População residente - percentual do total geral;Percentual;1 | 2 | 58 | 2661;Situação do domicílio | Sexo | Grupo de idade | Localização do domicílio;2 | 6794 | 95253 | 32776;Rural | Total | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;6.07
CD;Censo Demográfico;10135;Taxa de analfabetismo das pessoas de 15 anos ou mais de idade por grupo de idade, cor ou raça, sexo e existência de deficiência;Educação;https://sidra.ibge.gov.br/tabela/10135;10267;Taxa de analfabetismo das pessoas de 15 anos ou mais de idade;%;58 | 2 | 86 | 839;Grupo de idade | Sexo | Cor ou raça | Existência de deficiência;95253 | 6794 | 95251 | 46583;Total | Total | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;2.80
CD;Censo Demográfico;10150;Taxa de escolarização das pessoas de 6 anos ou mais de idade, total e pessoas diagnosticadas com autismo, por sexo e grupo de idade;Educação;https://sidra.ibge.gov.br/tabela/10150;12805;Taxa de escolarização das pessoas de 6 anos ou mais de idade;%;58 | 2;Grupo de idade | Sexo;31615 | 6794;6 a 14 anos | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;97.10
