ID_PESQUISA;PESQUISA_NOME;ID_AGREGADO;AGREGADO_NOME;AGREG_ASSUNTO;AGREG_URL;ID_VARIAVEL;VARIAVEL_NOME;VAR_UNIDADE;ID_CLASSIFICACAO;CLASSIFICACAO_NOME;ID_CATEGORIA;CATEGORIA_NOME;ID_NIVEL_LOCALIDADE;NIVEL_LOCALIDADE_NOME;ID_LOCALIDADE;NOME_LOCALIDADE;PERIODO;VALOR
CD;Censo Demográfico;4714;População Residente, Área territorial e Densidade demográfica;Território;https://sidra.ibge.gov.br/tabela/4714;93;População residente;Pessoas;[None];[None];[None];[None];N6;Município;3530607;Mogi das Cruzes (SP);2022;451505
CD;Censo Demográfico;4714;População Residente, Área territorial e Densidade demográfica;Território;https://sidra.ibge.gov.br/tabela/4714;614;Densidade demográfica;Habitante por quilômetro quadrado;[None];[None];[None];[None];N6;Município;3530607;Mogi das Cruzes (SP);2022;633.65
CL;Cadastro Central de Empresas;9509;Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal;Unidades locais;https://sidra.ibge.gov.br/tabela/9509;1606;Salário médio mensal;Salários mínimos;[None];[None];[None];[None];N6;Município;3530607;Mogi das Cruzes (SP);2022;2.5
CL;Cadastro Central de Empresas;9528;Unidades locais, pessoal ocupado total e assalariado, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0);Unidades locais;https://sidra.ibge.gov.br/tabela/9528;707;Pessoal ocupado total;Pessoas;12762;Classificação Nacional de Atividades Econômicas (CNAE 2.0);117897;Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;141411
CD;Censo Demográfico;10150;Taxa de escolarização das pessoas de 6 anos ou mais de idade, total e pessoas diagnosticadas com autismo, por sexo e grupo de idade;Educação;https://sidra.ibge.gov.br/tabela/10150;12805;Taxa de escolarização das pessoas de 6 anos ou mais de idade;%;2 | 58;Sexo | Grupo de idade;6794 | 31615;Total | 6 a 14 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;97.10
CD;Censo Demográfico;6805;Domicílios particulares permanentes ocupados, por tipo de esgotamento sanitário;Características do domicílio;https://sidra.ibge.gov.br/tabela/6805;1000381;Domicílios particulares permanentes ocupados - percentual do total geral;Percentual;11558;Tipo de esgotamento sanitário;46290;Rede geral, rede pluvial ou fossa ligada à rede;N6;Município;3530607;Mogi das Cruzes (SP);2022;81.42
CD;Censo Demográfico;4714;População Residente, Área territorial e Densidade demográfica;Território;https://sidra.ibge.gov.br/tabela/4714;6318;Área da unidade territorial;Quilômetros quadrados;[None];[None];[None];[None];N6;Município;3530607;Mogi das Cruzes (SP);2022;712.541
CD;Censo Demográfico;9888;População residente, Área territorial e Densidade demográfica em favelas e comunidades urbanas, segundo as Favelas e Comunidades Urbanas;Território;https://sidra.ibge.gov.br/tabela/9888;9911;Área territorial de favelas e comunidades urbanas;Quilômetros quadrados;[None];[None];[None];[None];N6;Município;3530607;Mogi das Cruzes (SP);2022;1.949
CD;Censo Demográfico;9888;População residente, Área territorial e Densidade demográfica em favelas e comunidades urbanas, segundo as Favelas e Comunidades Urbanas;Território;https://sidra.ibge.gov.br/tabela/9888;13096;Densidade demográfica em favelas e comunidades urbanas;Habitante por quilômetro quadrado;[None];[None];[None];[None];N6;Município;3530607;Mogi das Cruzes (SP);2022;9046.51
CD;Censo Demográfico;9888;População residente, Área territorial e Densidade demográfica em favelas e comunidades urbanas, segundo as Favelas e Comunidades Urbanas;Território;https://sidra.ibge.gov.br/tabela/9888;9612;População residente em favelas e comunidades urbanas;Pessoas;[None];[None];[None];[None];N6;Município;3530607;Mogi das Cruzes (SP);2022;17634
